key,substructure,enrichment_strong,odds_ratio,fisher_pvalue_bh,neg_log10_fisher_bh,strong_specificity,support,count_strong,count_weak,count_inactive,dominant_class,category,sig_fdr,pA_effect,pA_sig,pA_spec,S_stat,disc2,share2,freq2,freq0,freq1,S_shap,_merge,evidence,consensus,label
cc(c)[C@@H]1C[C@H]1n,,,,,,,,,,,,,,,,,,0.002064,1.0,1.0,0.0,0.0,0.7144097222222222,right_only,SHAP_only,,cc(c)[C@@H]1C[C@H]1n
cc(c)[C@H](N)C(N)=O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[C@H](N)C(N)=O
cc(c)[C@H](NC)C(=O)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[C@H](NC)C(=O)O
cc(c)[C@H]1C[C@H]1n,,,,,,,,,,,,,,,,,,0.002342,1.0,1.0,0.0,0.0,0.7217881944444444,right_only,SHAP_only,,cc(c)[C@H]1C[C@H]1n
cc(c)[Se]CC,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[Se]CC
cc(c)[n+],,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[n+]
cc(c)[nH]c(n)N,cc(c)[nH]c(n)N,0.919343814080656,1.026539174553615,1.0,-0.0,0.1428571428571428,0.0011152416356877,3.0,6.0,12.0,0.0,Neutral_Balanced,False,0.588470776621297,0.07606084867894315,0.588470776621297,0.417667467307179,,,,,,,left_only,STATS_only,,cc(c)[nH]c(n)N
cc(c)[se]n(c)-c,c-n(c)[se]c(c)c,1.0725677830940987,1.4812193794229722,1.0,-0.0,0.1666666666666666,0.0003717472118959,1.0,4.0,1.0,1.0,Neutral_Balanced,False,0.6461168935148118,0.07606084867894315,0.6461168935148118,0.4560982119028556,,,,,,,left_only,STATS_only,,c-n(c)[se]c(c)c
cc(c)[se]n(c)C,cc(c)[se]n(c)C,4.290271132376395,9.859831121833537,0.0293572089951024,1.5322852353922911,0.6666666666666666,0.0014869888475836,4.0,2.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9471577261809447,0.765812650120096,0.9471577261809447,0.8867093674939953,,,,,,,left_only,STATS_only,,cc(c)[se]n(c)C
cc(c)c(=O)n(-c)[se],c-n([se])c(=O)c(c)c,1.0725677830940987,1.4812193794229722,1.0,-0.0,0.1666666666666666,0.0003717472118959,1.0,4.0,1.0,1.0,Neutral_Balanced,False,0.6461168935148118,0.07606084867894315,0.6461168935148118,0.4560982119028556,,,,,,,left_only,STATS_only,,c-n([se])c(=O)c(c)c
cc(c)c(=O)n(-c)s,c-n(s)c(=O)c(c)c,6.435406698564593,60.453446191052,0.000648035994037,3.1884008713245597,1.0,0.0018587360594795,5.0,0.0,0.0,2.0,Highest_StrongOnly,True,0.9951961569255404,0.8542834267413931,0.9951961569255404,0.948225246864158,,,,,,,left_only,STATS_only,,c-n(s)c(=O)c(c)c
